,Unnamed: 0,Unnamed: 0.1,hike_name,region,length,elevation gain,rating,number_votes,features,"pass(0-no pass, 1- pass required)",which_pass,lat,long,time_from_seattle,url,latlong,numReports,hike_desc
244,244,,Twisp Pass,North Cascades -- Methow/Sawtooth,"9.0 miles, roundtrip",2460,3.60 out of 5,(10 votes) Log in to rate,"[Ridges/passes, Established campsites, Mountain views, Fall foliage, Rivers]",,Northwest Forest Pass required,,,,http://www.wta.org/go-hiking/hikes/twisp-pass,"http://maps.google.com/maps?hl=en&sz=11&spn=0.288219,0.275345&mrsp=0&ie=UTF8&daddr=48.4586,-120.5675&f=d&sll=48.4586,-120.5675&geocode=&t=p&saddr=&z=11&mra=mi",51.0,"Glorious in autumn when golden larches set the hills aglow and crimson blue-berry bushes light the meadows on fire, this dramatic portal into the North Cascades National Park makes a fine summer destination as well. During those warmer months enjoy alpine floral displays with glacier lilies, phlox, lupine, and paintbrush stealing the show. And while Twisp Pass in itself is a worthy objective, consider pushing farther. Drop down to Dagger Lake or wander a couple of miles of spectacular, open high country to explore polished granite shelves, remote grassy benches, and quiet hidden tarns.Take the trail heading west, Twisp Pass Trail No. 432. A fairly popular path among equestrians, the way is wide and well groomed and occasionally adorned with road apples. For its first 0.4 mile the trail parallels FR 4440 on its way to the Roads End Campground (a good place to stay over for an early start).Leaving the road behind, enter the Lake Chelan-Sawtooth Wilderness and enjoy easy walking in a wild valley. Following alongside the Twisp River, the trail undulates between lush forest and warm, brushy avalanche slopes. Pass giant cottonwoods, deciduous behemoths among the colossal conifers. Pyramidal Lincoln Butte hovers above.The grade eventually steepens. At 2 miles, at the confluence of the North and South Forks of the Twisp River, come to a junction (elev. 4400 ft). The trail right leads to Copper Pass. Stay left instead and cross the North Fork on a narrow bridge. Now steadily gaining elevation, the trail skirts Lincoln Butte and slabs up a series of benches. Thinning pines and a handful of ledges provide for good glimpses down the glacially carved Twisp River valley.With the South Fork now far below, the trail works its way higher along Lincoln's southern slopes. Admire nice rock cribbing along the trail. Admire, too, growing views of South Creek Butte and Crescent, Hock, and Twisp mountains. Pass rock gardens, blueberry patches, heather meadows, and clumps of subalpine fir. At 5.5 miles, in splendid parklands, arrive at Twisp Pass (elev. 6064 ft). A well-weathered sign indicates you're only a few steps away from entering the sprawling North Cascades National Park."
245,245,,Lincoln Park,Puget Sound and Islands -- Seattle-Tacoma Area,"1.85 miles, roundtrip",160,4.00 out of 5,(2 votes) Log in to rate,"[Good for kids, Dogs allowed on leash]",,No pass or permit required,,,,http://www.wta.org/go-hiking/hikes/lincoln-park,"http://maps.google.com/maps?hl=en&sz=11&spn=0.288219,0.275345&mrsp=0&ie=UTF8&daddr=47.5315,-122.3927&f=d&sll=47.5315,-122.3927&geocode=&t=p&saddr=&z=11&mra=mi",2.0,"Located on the western edge of West Seattle, Lincoln park offers 5 miles of trails, including a loop hike with bluff and beachfront views of Puget Sound, Vashon Island, and the Olympic Mountains. The park is family-friendly, with a wading pool, playground, bathroom facilities, ball fields, and multiple trail options.The park's best views and workout are along Trails 1 and 2, the beachfront and bluff trails, respectively. Steep connector trails enable the hiker to make a 1.85-mile loop out of the two trails. Along the way, enjoy views of the maritime wildlife, cargo ships, Washington State Ferries, beach, and forests. From the bluff, look 160 feet down to the beach trail below. At the beachfront, you can enjoy the heated, outdoor saltwater Coleman Pool.From the parking lot, go west on the several connector trails that crisscross the park, arriving at a log fence and the bluff trail. At the southern and northern ends of the bluff trail, there are connectors down to the beach trail. Go 1.07 miles along the beach trail until you go past Coleman Pool and to the bluff trail connector at the other end. As you climb back up to the bluff, you will feel the burn in your thighs as you climb a 20% grade. Return to your starting point to complete the loop or explore the park's other attractions."
246,246,,Kukutali Preserve,Puget Sound and Islands -- Bellingham Area,"2.2 miles, roundtrip",200,4.00 out of 5,(3 votes) Log in to rate,"[Good for kids, Wildlife, Fall foliage]",,Discover Pass required,,,,http://www.wta.org/go-hiking/hikes/kukutali-preserve,"http://maps.google.com/maps?hl=en&sz=11&spn=0.288219,0.275345&mrsp=0&ie=UTF8&daddr=48.4210,-122.5529&f=d&sll=48.4210,-122.5529&geocode=&t=p&saddr=&z=11&mra=mi",18.0,"Thanks to a partnership between Washington State Parks and the Swinomish Indian Tribal Community, Kukutali Preserve (Swinomish for ""place of cattail mat"") in Similk Bay near La Conner opened to the public on June 16, 2014.With the help of the Trust for Public Land, Washington State Parks acquired the property in June 2010, after it had been owned privately for almost 100 years. Believed to be the first park in the United States to be co-owned and managed by a tribe and another government, management of the area focuses on conservation and research, public education and limited recreational use, including hiking!The preserve includes 84 acres on Kiket Island and Flagstaff Point and 9 acres on Fidalgo Island, all of which are located within the Swinomish Reservation. Here, cattail mats were once used as temporary summer shelters by the local tribe during clam digs and salmon seining. More than 2 miles of shoreline play host to native eelgrass beds, multiple fish species and shellfish. The preserve's diverse land habitats also house several endangered or threatened species, and a ""rocky bald"" -- an area with fragile, thin soil -- provides land for yet more native plants and waterfowl. The fragility of the land on the rocky bald dictates that access to Flagstaff Point be prohibited to protect the unique life that inhabits this area. But there are opportunities for hikers to enjoy this area. Two miles of walking trails currently exist, with plans to add an ADA-accessible boardwalk, another trail and amenities such as a picnic shelter, picnic sites, interpretive information and two vault restrooms.Start your exploration from the parking area by taking the gravel Kiket Trail as it crosses a tombolo (a sand spit connecting an island to the mainland) to Kiket Island. Pass Kiket Lagoon and look northwest to Fidalgo Island, where Mount Erie looms in the distance. The Kiket Trail bisects Kiket Island and is the most direct route to Kiket's west side. For a lollipop loop, follow this road to a signed intersection and turn right for the North Trail. The singletrack North Trail has some elevation gain but is gentle enough for young hikers. At its high point, a meadow overlook provides views of Deception Pass Bridge, framed by madrona boughs and old growth. From here the trail descends to a large meadow at the west end of Kiket Island, meeting up once more with the Kiket Trail. Continue west to find a second tombolo leading out to Flagstaff Point. This shoreline offers windswept views of Skagit and Hope Islands, as well as Similk Bay.Home to a delicate meadow ecosystem, Flagstaff Point was—amazingly—formerly proposed as the site of a nuclear power plant by Seattle City Light. Head back along the gentle South Trail, peeking out at tiny High Tide Island's single tree from meadow balds. Meet the Kiket Trail one more time and returnto the parking area.The preserve is open daily for day use only, from dawn to dusk. A parking lot at the entrance is available for easy access to the preserve."
247,247,,Deception Pass State Park - Goose Rock,Puget Sound and Islands -- Whidbey Island,"4.3 miles, roundtrip",484,3.88 out of 5,(16 votes) Log in to rate,"[Mountain views, Dogs allowed on leash, Old growth, Good for kids]",,Discover Pass required,,,,http://www.wta.org/go-hiking/hikes/deception-pass-goose-rock,"http://maps.google.com/maps?hl=en&sz=11&spn=0.288219,0.275345&mrsp=0&ie=UTF8&daddr=48.4034,-122.6475&f=d&sll=48.4034,-122.6475&geocode=&t=p&saddr=&z=11&mra=mi",58.0,"Hike to the highest point on Whidbey Island for excellent views near and far. On your journey upward, walk the beach, cross under one of the most scenic bridges in the state, and check out the twisted trunks of the Pacific Madrone trees on the way. Start your hike at the far west end of Cranberry Lake. Walk to the amphitheater and locate the trail on the far side. This is the North Beach trail. Follow the wide, well-built trail for almost a mile as it climbs above North Beach toward the bridge. Once you reach the bridge, the trail crosses under it, giving you a chance to admire the engineering. Started in August of 1934 and completed in July of 1935, the bridge and much of the park was built by the Civilian Conservation Corps in the height of the Great Depression. Once you cross under the bridge, the trail forks, keep left, you want to follow the Perimeter Trail. The trail forks again. Keep left again, following the Perimeter Trail still. As you hike, you will see some small trails heading a short way down toward the water, they lead to some views of Mount Baker through the trees.Following the Perimeter Trail takes you around the side of Goose Rock and above the shores of Cornet Bay. The trail drops down close to the beach before heading up again. There is a side trail to the left, but that is not your trail, take the one to the right that heads uphill. Hike along an open, grassy area on a rocky hillside, in spring look for the pink flowers of wild currant. Look out at Cornet Bay and on a sunny day, Mount Baker in the distance. All along this section notice the contorted branches and peeling red bark of the native madrone trees. These will have clusters of flowers in the spring, and red-orange berries in the fall. Some of these trees are quite old, with huge trunks and grey bark at the base. The trail drops down to a well signed intersection. Here you meet the Summit Trail. Take this one; it’s time to head to the top! The trail climbs steeply, then switchbacks through the woods. Climb out of the trees and hit the first of what is called ‘the Balds’. Bald refers to an area scraped to the bedrock by receding glaciers at the end of the last ice age. A good look at the rock and you can see the striations. It has taken thousands of years to build up enough topsoil on top of the rock to grow the plants in this meadow. Get down on your knees and look carefully, see how many different kinds of mosses, stonecrops and other plants you can find!  Please don’t destroy them by careless walking. Follow the path, and head up and under the power lines. Here will be some great views of the Cascade peaks along the Mountain Loop Highway. From here, you can follow a trail over to the high point and the top of Goose Rock at 484 feet. From the top you can see the Olympics, across the water to the San Juan Islands, and just below you, Cranberry Lake. Check out the view of the Naval Air Station and watch the jets on maneuvers.When you are ready to head back, you have several routes to choose from. Take the Summit trail back to the start of the Perimeter trail and the bridge, or go back the way you came up, and hit the Discovery trail, cross Highway 20 by going under a pedestrian tunnel, and meet the North Beach trail on the other side of the bridge. From the North Beach trail, drop down to the beach and walk along the beach. There are picnic tables scattered about where beach meets woods. If the tide is out, you may be able to walk all the way back to the parking lot by way of the beach. If it is in, you will reach a dead end at the west point headland, backtrack and catch the trail again. WTA Pro Tip: This is a very popular park and the trails are well used. For maximum enjoyment, get here early! The park hours are: 6:30 AM-dusk April through September, 8:00 AM-dusk October-March."
248,248,,Dog Mountain,Southwest Washington -- Columbia River Gorge - WA,"6.0 miles, roundtrip",2800,4.35 out of 5,(17 votes) Log in to rate,"[Dogs allowed on leash, Summits, Rivers]",,Northwest Forest Pass required,,,,http://www.wta.org/go-hiking/hikes/dog-mountain,"http://maps.google.com/maps?hl=en&sz=11&spn=0.288219,0.275345&mrsp=0&ie=UTF8&daddr=45.6993,-121.7066&f=d&sll=45.6993,-121.7066&geocode=&t=p&saddr=&z=11&mra=mi",105.0,"The stunning views and unparalleled springtime flowers make this one of the most popular hikes in the Gorge. On a good day, you can get a bird’s eye view of Mt. Hood and the Columbia River. In the spring the top is carpeted with vibrant yellow balsam root. Although the trail is steep and sometimes crowded, this hike is unquestionably worth the effort.The hike begins with a heart-thumping one-half mile climb through a wooded area to a junction. Turn right and continue your uphill trek. Soon you will be treated to glimpses of the Columbia River through the foliage. During the spring, you may also come face-to-face with wildflowers on the hillside next to the trail. One mile past the junction, the trail comes to a viewpoint where you get a panoramic view of the Columbia River, Wind Mountain, and the top of Dog Mountain. This makes a good picnic spot and turnaround point for a shorter hike. After enjoying the viewpoint, resume your uphill ascent for a half-mile to the second trail junction. Bear right and head up another half-mile to the site of a former fire lookout. The lookout was built in 1931 to watch for fires across the river in the Mount Hood National Forest. The wide openness makes this an excellent spot to pause and take in the scenery.From the lookout, it is only a half mile to the top of the meadow. This portion of the hike is out in the open and very picturesque. However, you’ll need to turn your focus from the scenery to your feet as you skirt the top of a cliff. It can also be quite breezy, so be prepared for gusty winds.Getting to the top is a cause for celebration, and you may be greeted by a swarm of people buzzing with excitement after having made the rigorous climb. This is not a spot for quiet introspection. Instead, join the party-like atmosphere and savor the view. Retrace your steps to return to the car. You can also make this a loop hike by coming back down the Augspurger Mountain Trail. This adds 0.9 miles to the hike, but is more knee-friendly and provides additional views of the Columbia River.  A tenth of a mile down from the top of the meadow, take the trail to the right. Continue for 1.1 miles to a junction. Turn left and follow the trail 2.7 miles back to your car. WTA Pro-Tip: The perfect way to end your Dog Mountain experience is to stop in Stevenson Washington at the Walking Man Brewery or the Big River Grill. The Walking Man Brewery serves a wide variety of their own brews along with sandwiches and gourmet pizzas, and the outdoor seating area allows you to continue your commune with nature. If you’d like a more upscale dining experience, try the Big River Grill which features Northwest Cuisine using fresh local ingredients. With its license plate collection and Columbia River sturgeon mermaid, the food is Portland-good and the atmosphere roadhouse quirky."
249,249,,Cowiche Canyon,Central Washington -- Yakima,"6.0 miles, roundtrip",100,3.36 out of 5,(11 votes) Log in to rate,"[Wildlife, Good for kids]",,NR,,,,http://www.wta.org/go-hiking/hikes/cowiche-canyon,"http://maps.google.com/maps?hl=en&sz=11&spn=0.288219,0.275345&mrsp=0&ie=UTF8&daddr=46.6299,-120.6629&f=d&sll=46.6299,-120.6629&geocode=&t=p&saddr=&z=11&mra=mi",119.0,"Walk beneath stunning basalt and andesite cliffs along a beautiful creek with	wildflowers in the spring, stunning color in the fall and a side trip for a glass of wine and snacks.The Cowiche Canyon Trail may be short, but it sure is sweet. From the trailhead just off Weikel Road, you’ll wind beneath steep sagebrush slopes and cliffs of basalt and andesite splotched with colorful lichens, crossing Cowiche Creek numerous times along the way. The creek is always close at hand, and the lush riparian vegetation and sagebrush hillsides are home to numerous species of songbirds, while raptors and vultures circle above the cliffs. If you’re lucky, you’ll hear a canyon wren or spot a yellow-bellied marmot or a lucia azure butterfly. In the spring, a wide array of wildflowers dot the hillsides.As you make your way down the canyon, just past bridge 5 you’ll come upon some reddish basalt columns reminiscent of the statues on Easter Island. A little farther along, soaring above the trail between bridges 7 and 8, is an andesite formation known as the Mayan Sunrise. Just prior to bridge 8 is a junction with the Winery Trail, which climbs the north side of the canyon to the Wilridge Vineyard and the Tasting Room of Yakima, while just beyond bridge 8 is a junction with the Uplands Trail that climbs the south side of the canyon to the uplands with broad vistas of Mount Cleman, Cowiche Mountain, and the surrounding countryside.Beyond here the main trail leaves the railroad bed and follows an old county road to bypass two trestles that were illegally removed when the rails and ties were salvaged. Here the vegetation crowds the trail, at times almost forming a tunnel as the trail follows a bend in the creek back to the railroad bed below some impressive basalt cliffs. After crossing the creek for a final time, the trail passes a grove of aspen, then a house and small orchard. Beyond this is the hop yard that is the source of Fremont Brewing’s Cowiche Canyon Fresh Hop Ale, and finally the trailhead at the end of Cowiche Canyon Road."
250,250,,Red Top Lookout,Snoqualmie Region -- Salmon La Sac/Teanaway,"1.5 miles, roundtrip",350,3.19 out of 5,(16 votes) Log in to rate,"[Mountain views, Dogs allowed on leash, Old growth, Summits]",,Northwest Forest Pass required,,,,http://www.wta.org/go-hiking/hikes/red-top-lookout,"http://maps.google.com/maps?hl=en&sz=11&spn=0.288219,0.275345&mrsp=0&ie=UTF8&daddr=47.2970,-120.7596&f=d&sll=47.2970,-120.7596&geocode=&t=p&saddr=&z=11&mra=mi",57.0,"Red Top Lookout, built in 1952, restored in 1997, and still operational today, provides a fine bang for your hiking buck. A short, steep trail leads to the functioning fire lookout as well as magnificent 360 degree views of the Stuart Range, Teanaway Ridge, Chelan and Entiat Mountains, Mount Rainier, and even Mount Adams on a clear day.Start your hike from the parking lot, continuing up the dirt road. Spot Red Top Lookout perched on Teanaway Ridge above you, and continue up the path and over a dirt mound to the trail ahead. Enter a shaded forest and come upon a sign for the Teanaway Ridge Trail. Turn left here and start your 0.5 mile climb to the lookout.  The trail is steep, but short and easy to follow. Catch your breath by admiring the variety of wildflowers lining the trail such as the tiny white flowers of the common yarrow and the pretty purple petals of the aster. Look up to Mount Rainier as it slowly peeks out from the southwest.  Breaking out of the forest, you soon reach an exposed, rocky ridge and Red Top Lookout. The Stuart Range and Teanaway Ridge spread before you to the north, the Chelan and Entiat Mountains to the northeast, and South Cle Elum, Mount Adams and Mount Rainier to the southwest. Spot a large solar panel to the immediate north of the lookout. The panel powers a radio repeater that transmits radio signals over the rugged terrain.If the lookout is open, take the time to examine the many resources inside. Take a look at the panoramic map nailed on one of the walls and see how many peaks you can identify. Check out the large, compass-like device in the center of the lookout called an Osbourne Firefinder. This tool helps lookout volunteers pinpoint the location of a distant fire, which they can then relay to the Central Washington Interagency Communication Center. The lookout is typically staffed by volunteers in the summer months and is generally open to visitors from 9:00 a.m. – 6:00 p.m. It is locked if a volunteer is not there, so if you'd like to look around inside, try to time your visit for a summer weekend when a volunteer is more likely to be there. You can walk a bit beyond the lookout on a short ridge about 50 feet long for further views. This section, and the area surrounding the lookout is surrounded by steep dropoffs and rocks that are easy to slip on; exercise caution with children and those who might need a helping hand.Extending your Hike: Make it a loop! Instead of descending back the way you came, hike north from the lookout towards the big rock at the end of the ridge. Bear right at a fork in the trail and continue down the switchbacks. The trail continues to descend steeply, and in about 0.2 miles arrive at a junction with a sign marked Teanaway Ridge Trail 1364 nailed to a tree. Turn right to head back to the parking lot. The trail here is gently rolling with a couple of narrow, rocky sections and steep drop-offs; so exercise caution. This route is slightly longer than the 0.5 mile route, clocking in at about 0.65 miles, meaning the loop is about 1.05 miles total. WTA Pro Tip: Red Top Lookout and the trail to it is a popular place to find agates and thunder eggs. Starting at the trailhead, continue up the dirt road for about 0.2 miles, until you reach the Teanaway Ridge Trail sign. Turn right at the sign to reach the agate beds in one mile. There is a guide posted near the agate beds with helpful hints about the rock beds. As with wildflowers or anything else on trail, please refrain from taking these home in order to let future hikers discover these remarkable rocks as well."
251,251,,Mount Washington,Snoqualmie Region -- Snoqualmie Pass,"8.5 miles, roundtrip",3250,3.86 out of 5,(35 votes) Log in to rate,"[Mountain views, Dogs allowed on leash, Established campsites, Old growth]",,Discover Pass required,,,,http://www.wta.org/go-hiking/hikes/mount-washington-1,"http://maps.google.com/maps?hl=en&sz=11&spn=0.288219,0.275345&mrsp=0&ie=UTF8&daddr=47.4420,-121.6722&f=d&sll=47.4420,-121.6722&geocode=&t=p&saddr=&z=11&mra=mi",446.0,"Ditch the North Bend crowds by heading six miles farther east to Mount Washington. This easy-access day hike delivers comparable—if not superior—panoramic views and lung-busting switchbacks to Mount Si, with significantly less foot traffic. Start by following the signs for John Wayne Trail and Twin Falls at the south end of the parking lot near the bathroom structure. This short spur trail climbs immediately south then west before merging with a gravel logging road in a few hundred yards. Stay right at the junction, continuing to climb uphill for another tenth of a mile, and stay right at the next junction with the John Wayne Pioneer Trail/Iron Horse Trail—another wide gravel logging road. In just a few hundred feet, head south on the second trail into the forest, 0.3 miles from the trailhead, marked by a small rock cairn. This is the start of the Mount Washington Trail.The trail climbs steeply to the southwest before easing to a moderate grade over rocky terrain and crossing several small creeks. While mostly switch-backing through an old growth forest of pines and sheer rock faces, the trail opens for occasional views to the North, revealing just how quickly it’s ascended from the parking lot.  Less than a mile from the trailhead, hikers pass the base of a small cave-turned-climbing wall, with several anchors speckling the inverted hang of its upper reaches. Continue climbing and veer right on the main path when the trail reaches its first official marker—a hand-carved wooden sign that reads “MT WA.” About 1.6 miles from the trailhead, a small clearing oft referred to as “Owl Hike Spot” offers the first westward views, allowing a brief photo-op of Rattlesnake Ledge. Previous trail guides often stopped at this point, but superior views are enjoyed farther along. Continue climbing and stay right at the junction with the Great Wall Trail at two miles, revealing the first views of the summit. The trail eases, exiting the dense cover of forest as it approaches a small marsh and turns sharply east toward another unmarked trail junction. Again, stay left, following the main path east as it navigates long switchbacks and bursts into an alpine meadow decorated with scree slopes, boulders and spring wildflowers at about the three mile mark.You'll soon arrive at a sharp switchback. At the curve of the switchback you're right on the boundary between public land and the Cedar River Watershed, the water supply for the city of Seattle. Signs along this section of trail ask you to respect the watershed, so be sure to stay on the trail here and practice Leave No Trace as you round a southwest-facing slope and make the final push to the summit of Mount Washington. From the top, take in views of the peaks surrounding you, but be sure to look down at Chester Morse Lake and Masonry Pool. It's amazing to realize that these two lakes are what help keep the megalopolis of Puget Sound hydrated."
252,252,,Lake Stuart,Central Cascades -- Leavenworth Area,"9.0 miles, roundtrip",1665,3.50 out of 5,(14 votes) Log in to rate,"[Old growth, Lakes]",,Northwest Forest Pass required,,,,http://www.wta.org/go-hiking/hikes/lake-stuart,"http://maps.google.com/maps?hl=en&sz=11&spn=0.288219,0.275345&mrsp=0&ie=UTF8&daddr=47.5277,-120.8210&f=d&sll=47.5277,-120.8210&geocode=&t=p&saddr=&z=11&mra=mi",181.0,"The Core Zone of the Enchantments may be one of the most popular destinations in Washington state, but those who venture to Lake Stuart may just get the extra-enchanting reward of relative solitude in a high traffic area. Most hikers heading into the Enchantments use the Lake Stuart trailhead, but make for the Core zone via Colchuck Lake and Aasgard Pass. However, taking the right-hand trail 2.2 miles from the trailhead leads you into an adjacent valley, with a large, shallow lake at the base of the imposing massif of Mount Stuart. Depart the Stuart Lake Trailhead and follow rolling trail along Mountaineer Creek for 2.2 miles. Along the way, you’ll pass through marshy land dotted with trillium well into summer, since the snow sticks around at this altitude for quite a while. One and a half miles in, a large, sturdy log bridge crosses Mountaineer Creek; an eight-day WTA backcountry response team worked here in 2014 to install the new bridge when the old one was beginning to show signs of decay. Past the bridge, the trail begins to climb more steeply, through forest and large glacial erratics, boulders that are the last remnants of the ages when ice covered the landscape here. As you switchback through the forest, enjoy the sound of Mountaineer Creek crashing through the landscape, and see if you can spy Colchuck or Dragontail Peak through the trees. Just over two miles from the trailhead, the trail flattens out as you arrive at a junction. Hikers occasionally make a wrong turn here, so be sure to take a look at the trees to your right. Signs indicate Colchuck Lake is reached via the trail to the left, and Lake Stuart lies down the trail to the right, rolling out ahead of you on an almost flat grade. Lake Stuart lies 2 miles away, and includes some sections of moderate climbing, but for the most part, you’ll enjoy a relatively flat stroll back into the valley that holds Lake Stuart. While much of your hike is through second-growth forest, a large meadow about a half mile from Lake Stuart offers expansive views of the valley at the foot of Mount Stuart. It’s worth a short break for a photo, if nothing else. Continue on to Lake Stuart, which may surprise you with its proximity to the trail when you finally do reach it. Several camping spots lie along the lakeshore, but because you’re still in the Enchantments, you’ll need a permit for overnight camping between June 15 and October 15. If you’re camping, be mindful of signs indicating Fragile Areas in need of restoration – there’s no camping permitted here. And if you’re just here for the day, there are several day use areas with beachfront property for hot days. With its icy waters, the lake provides excellent relief from sweltering midsummer temperatures. WTA Pro Tip: In autumn, the larches here are gorgeous, lining the hillsides with golden light in the evenings. Don't forget your camera."
253,253,,Icicle Ridge,Central Cascades -- Leavenworth Area,"6.0 miles, roundtrip",1800,3.30 out of 5,(10 votes) Log in to rate,"[Mountain views, Wildlife, Ridges/passes, Dogs allowed on leash]",,Northwest Forest Pass required,,,,http://www.wta.org/go-hiking/hikes/icicle-ridge-1,"http://maps.google.com/maps?hl=en&sz=11&spn=0.288219,0.275345&mrsp=0&ie=UTF8&daddr=47.5830,-120.6834&f=d&sll=47.5830,-120.6834&geocode=&t=p&saddr=&z=11&mra=mi",135.0,"Often free of snow as early as April, this excellent early season hike offers hikers what they have been missing for months: a good chance of sun (this being the sunny side of the Cascades, a bountiful array of wildflowers, and stunning views of Tumwater and Icicle Canyon, the Wenatchee and Icicle rivers and surrounding mountains.What's more, hikers can attain all of this glory with relatively little pain - an 1,800 foot gain in three miles as opposed to the neighboring Fourth of July trail that also leads hikers to a higher point on Icicle Ridge in a grueling 4,300 vertical foot march.Now it is true that the views are better the higher you go on Icicle Ridge. But for spring hiking, it doesn't get much better than this. Go early to experience the birdsong and wildlife. Go in April and May to admire the spring beauties, anemones, glacier lilies and Tweedy's Lewisia.The trail to the saddle is generally well-groomed and shaded with a moderate incline."
254,254,,Elbo Creek,Olympic Peninsula -- Hood Canal,"10.0 miles, roundtrip",1910,3.50 out of 5,(2 votes) Log in to rate,[],,No pass or permit required,,,,http://www.wta.org/go-hiking/hikes/elbo-creek,"http://maps.google.com/maps?hl=en&sz=11&spn=0.288219,0.275345&mrsp=0&ie=UTF8&daddr=47.7740,-122.9145&f=d&sll=47.7740,-122.9145&geocode=&t=p&saddr=&z=11&mra=mi",11.0,"This pleasant trail begins at Rainbow Campground on the Olympic Peninsula and ends near Elbo Creek on the northeast side of Buck Mountain.Elbo Creek was originally built by the Civilian Conservation Corps (CCC) who had a camp along the trail. At least partly destroyed by logging, WTA has worked for several seasons to restore this trail. This trail climbs steadily up for 2.5 miles. The climb ends above a blowdown area where hikers can almost see Mount Townsend. But the real draw to this trail are the curious saprophytic plants in the summer: Indian Pipe, candystick, coral root, and many other interesting types of flora bloom along this trail. In winter, this is an excellent snowshoe workout.  After the switchbacks, the trail comes out on FS 030. Head southwest on this road roughly 3 miles to a sharp right switchback onto FS 043 and ascend it to the summit of Buck Mountain. The true summit is across a ridge directly west of the towers, a fun traverse in the summer months.The previously unmaintained part of the trail is now footworn and not to difficult to follow. WTA Pro Tip: Though many people enjoy hiking Elbo Creek, few people start at Rainbow Campground. Most start about a quarter mile up Rocky Brook Road, at the junction found at 47-46.2' and -122-55.05'."
255,255,,Union Creek,Mount Rainier Area -- Chinook Pass - Hwy 410,"14.0 miles, roundtrip",2500,2.50 out of 5,(6 votes) Log in to rate,"[Old growth, Wildlife]",,Northwest Forest Pass required,,,,http://www.wta.org/go-hiking/hikes/union-creek,"http://maps.google.com/maps?hl=en&sz=11&spn=0.288219,0.275345&mrsp=0&ie=UTF8&daddr=46.9332,-121.3597&f=d&sll=46.9332,-121.3597&geocode=&t=p&saddr=&z=11&mra=mi",26.0,
256,256,,Island Center Forest,Puget Sound and Islands -- Seattle-Tacoma Area,"10.0 miles, roundtrip",200,3.00 out of 5,(2 votes) Log in to rate,"[Good for kids, Dogs allowed on leash]",,No pass or permit required,,,,http://www.wta.org/go-hiking/hikes/island-center-forest,"http://maps.google.com/maps?hl=en&sz=11&spn=0.288219,0.275345&mrsp=0&ie=UTF8&daddr=47.4365,-122.4710&f=d&sll=47.4365,-122.4710&geocode=&t=p&saddr=&z=11&mra=mi",9.0,"With lovely Douglas-fir forest, wetlands, and a great network of trails, Island Center Forest is one of King County's best-kept secrets. Birds are abundant on the wetlands, and the forest is lush, with large, second-growth trees, a testament to the effort that several groups have put into managing this forest in order to restore the health of this area.Thanks to work from the Friends of Island Center Forest, the Vashon Forest Stewards, Vashon-Maury Island Land Trust, and Vashon-Maury Island Audubon, this nature preserve offers a network of forest trails to residents of (and visitors to) Vashon and Maury Island. There are several park entrances; the closest to the town of Vashon is from SW 188th St, the turn-off for which is just a half-mile south of the intersection in ""downtown"" Vashon. From this trailhead, complete with picnic benches and shelters, as well as maps of the preserve, it's an easy walk to Mukai Pond, a lovely wetland ringed with beautiful, colorful willows.The westside entrance is a wide spot in the road, but don't let the nearby restored Borrow Pit or the landfill next door stop you from heading into the park! After stopping to admire the great restoration work on the borrow pit, you'll soon be in lush forest--hushed, save for birds and squirrels. You will forget you're at a County park.A third access point is the Cemetary Trailhead, accessible from 115th Ave SW off SW Cemetary Road. This trailhead is more convenient for island locals, while visitors to Vashon will probably opt for the 118th St. entrance. There are 10 miles of trail at Island Center Forest, plenty of opportunity to wander to your heart's content. But be sure to take a map; there are some confusing intersections, though many are signed. And of course, as with any park adjacent to a neighborhood, there are many waytrails leading to homes. Having a map will help you avoid wandering into someone's backyard. Some trails can be quite muddy on a rainy day, and during the rainiest months, it is not possible to approach the walks at Mukai Pond or Meadowdale Pond, due to high water. If this is the case, go back another time!Watch for bicyclists and equestrians, and remember that this is a working forest, with recovery in process, so there may be trail closures. WTA Pro Tip: Consider making this a bike trip! It costs less to take a bike on the Fauntleroy Ferry, and the RapidRide C Line makes a stop at the terminal. From the Vashon terminal, huff and puff up the admittedly steep hill or hop on the bus. The bus stops just north of town, where you can bike to the turnoff at 188th St SW. If you're riding the whole way, know that the turnoff is 5.4 miles from the terminal. Trails in the park are bike friendly, or you can lock up your bike and hike. Afterwards, you can coast back through town, stopping for a bite to eat at Dragonfly Cafe and a browse at the bookstore. When you're ready to head home, hop on your bike and cruise back down to the ferry terminal."
