HikeName	AuthorName	TrailConditions	Road	Bugs	Snow	ReportText	DateHiked	Url
Wonderland Trail - Mowich Lake to Sunrise via Spray Park	Hikes With Kids	Trail in good condition	Road rough but passable	Bugs were not too bad	Snow free	Hiked the Wonderland North section from Mowich Lake to Sunrise (via the Spray  Park alternate route) last weekend with my daughter, 3 of her friends, and 2 of mine.  Two nights in the backcountry - first at Carbon River Camp, second at Granite Creek Camp.  Started on Friday 8/10 around noon from Mowich Lake (after dealing with the most horrific flat tire ever) at 4925 ft, with blue skies but smoky haze largely obscuring the Mountain.  Lots of crowds even on a non-weekend day up to Spray Park, where a few bees and flies pestered us but nothing a little picardin could not solve.  From there up and over the high point at 6400' and down to lovely, LOVELY Seattle Park, probably my favorite place along this trail.  Long descent of 3200 feet-pounding feet to Carbon River camp.  Very nice backcountry camp in the lower old growth forest amid tall trees.  Dinner under clear skies, accompanied by a nice Merlot brought by the most excellent Pastor Peter, and then to bed with the roar of Carbon River providing bedtime music. Up Saturday early under a thick marine layer, very misty.  Backcountry French press coffee (oh thank you, THANK you, SnowPeak company!) and various oatmeals, packed up in the mist, and shortly after facing the infamous Carbon River Suspension bridge.  Bouncy but not daunting - after the standard cliche jokes ("What's yer name? What's yer quest? What's - your favorite color?" and, of course, "YOU - SHALL NOT - PAAAASSSSS!") we stood safe on the other side and began the grueling 4 mile, 2800 ft ascent to Moraine Park at 6000' under persistent thick marine clouds that blocked the Mountain (sigh) and the hot sun (yay).  Blueberries and huckleberries are coming out all along this stretch, interspersed with magenta paintbrush and blue incheon.  Two separate field repairs required on my right boot - thanks to my friend Winfried for bringing the duct tape!  Not a bug to be found this cold and foggy day, and they were not missed.  Lunch at Mystic Lake, with a bit of rain, then blue-sky sucker holes opened up and beckoned us down to the crossing of Winthrop Creek at 4600' - FAR more harrowing on that aging old log bridge with creaky rail than the veritable engineering wonder of the Carbon River mini-Tacoma-Narrows construct.  Then up the last, fateful, will-testing 1200 feet to Granite Creek Camp at 5800 ft.  No berries to speak of, but no bugs either. Camp set up under sun, with rain moving in just as soon as we got the tarp rigged and stoves lit.  Post dinner treat this night was our backcountry bourbon bar courtesy of Heritage Distilling Company and their wonderful little mini-bottles, while the under-21's played cards in one of the tents.  Rain, rain, rain until bed - but during my 3am "call of the wild" I stepped out under brilliant starry skies and knew it was going to be all good. Sunshine and true blue skies on Sunday morning.  Last of the coffee, oatmeal, and anything else edible as lunch was only a few hours off back in Civilization, USA.  Steep climb of 900' to Skyscraper Pass at 6700' to start but it was no problem because I KNEW I HAD DONE IT, and it was easy-peezy from there to the Sunrise Snack Bar.  We finally could see the Mountain in all its glory, which we took full measure of from a side trip up Skyscraper Peak, 7100'.  Then back to the crowds as we approached Sunrise, the crowds and then the mega-crowds and then the teeming hordes, oh my word, so many people.  I think we saw about 25 people between Seattle Park and Skyscraper Pass - and saw about 2500 people on the other two sections of the trail.  Made it to the old trusty minivan at Sunrise and headed down for ice cream at Greenwater Outfitters and pizza in Enumclaw at Frankies.  Upon leaving the Sunrise parking area, the cars were parked down the road at least a mile from the visitor center, the ranger was there metering the prospective entrants, and the line of cars from the White River ranger station entrance extended to within about 1/2 mile of highway 410.  Holy, holy moley. Commentary:  1) Man, does the NPS do it right with backcountry campsites.  Pit toilets, yes, but with honest-to-goodness toilet seats.  Bear poles.  Big, nice, flat camps in lovely settings and easy water access. 2) as hinted before, the eponymous Wonderland Trail lives up to billing even in not-ideal weather - the marine clouds blocked the Mountain but focused our eyes on the flowers and rills and meadows instead. 3) Mystic Lake does not look at all like I pictured - largely because of mis-reading the description in my old Manning/Spring MRNP hiking guide - but nice all the same 4) my moniker of Hikes with Kids is still appropriate even though the kids are now in their late teens and in college - still kids to me and still wonderful to share a trail with 5) special thanks to Ian for carrying my camp chair!	Aug 15, 2018	https://www.wta.org/go-hiking/trip-reports/trip_report.2018-08-15.9562103620
Buck Creek	Naturegym	Minor obstacles posing few problems	Road suitable for all vehicles	Bugs were an annoyance	Snow free	I found this trail by accident when going left at Ranger Airport Station trail enterance instead of veering right. I had my ten year old with me so we didn't get too far (about 5 miles in) before having to turn around and head back. The section we were on was pretty dense forest but very well maintained path. We were high above the river and enjoyed the streams and overlooks along the way. It was so smoky and hazy from forest fires that we did not get to enjoy some of the beautiful mountain views that others posted about. I look forward to going back when my son is older and we have more packed to complete the larger full trail. This trail is definitely made for more experienced hikers.	Aug 15, 2018	https://www.wta.org/go-hiking/trip-reports/trip_report.2018-08-16.2301286260
Naches Peak Loop	Erik25959	Trail in good condition	Road suitable for all vehicles	Bugs were not too bad	Snow free	We wanted to hike somewhere outside of the smoke and though it wasn't smoke-free, it was significantly better than in Eastern Washington. To the south it was socked in but to the north we did see some blue sky. Wildflowers were worth it.  Didn't see much of Mt. Rainier but definitely better than being in the smoke and it was 20 degrees cooler.  Great hike!	Aug 15, 2018	https://www.wta.org/go-hiking/trip-reports/trip_report.2018-08-15.6314542743
Fort Ebey State Park	Gotogranny	Trail in good condition	Road suitable for all vehicles	Bugs were not too bad	Snow free	Very hazy again today from the fires all around, so decided to stay close to home. Fort Ebey is always fun because of the many interconnecting trails--it's a new hike every time! I started at the end of the Pt. Partridge Road and hiked the bluff trail to Lake Pondilla. Then I took off along a short section of the P.N.T. and over to Kyle's Kettle. I'm beginning to really like that trail, good tread, peak-a-boo views of the lake, some good uphill sections. The Grandpa Tree side loop isn't as much fun. Because I didn't think to take the map, kind of rambled a bit getting back to the car. I was out there to get some Hike-a-thon miles, so it was all good.	Aug 15, 2018	https://www.wta.org/go-hiking/trip-reports/trip_report.2018-08-15.7510581745
McCollum Park	ToddlerTrekking	Trail in good condition	Road suitable for all vehicles	Bugs were not too bad	Snow free	We managed to get in just a short hike with all the smoke. The Forest Loop at McCollum was, as always, a nice shady outing with the kiddo. Things are really dry right now of course so no ponds or mud to play in and the fall fungus isn't coming up yet. This summer, my four-year-old son and I are hiking to raise money for Washington Trails Association. Please consider donating to one of our Hike-A-Thons at the below links. Thank you and Happy Hiking!	Aug 15, 2018	https://www.wta.org/go-hiking/trip-reports/trip_report.2018-08-16.2070197041
Independence and North Lakes	Lucy	Trail in good condition	Road rough but passable	Bugs were not too bad	Snow free	I had planned on going on this hike today and it was great to see someone had posted an update on this trail yesterday. Thank you to the person who wrote the report and gave directions for the cutoff to North Lake. I've been on this trail before but I've not travelled to North Lake. This trail has a lot of ups and downs leading to a good amount of elevation gain. It is steep and rocky much of the way. You reach Independence lake fairly quickly but North Lake is more of a challenge. If you want to go to North lake, I suggest reading the report from yesterday to get your bearings straight. I was surprised to see some wildflowers still blooming near water sources. Views were definitely limited by the smoke. I tried a little fishing in North Lake but that proved unsuccessful. A couple of folks were around enjoying the lakes and tarns along the way. Fewer people than I expected.  With limited views by the smoke invading the region, I turned my attention to small creatures going about their existence in the world, hence the photos of frogs and butterflies.	Aug 15, 2018	https://www.wta.org/go-hiking/trip-reports/trip_report.2018-08-15.6187092937
Nike Horse Trail	EmilB	Trail in good condition	Road suitable for all vehicles	Bugs were an annoyance	Snow free	- Plenty of Sky Country parking at 5 PM on a Wednesday - Coal Creek Falls is dry (see picture below) - The trails are just beautiful - especially in the amber, rising/setting, wild-fire sun - but bugs abound - The trails have a real late-summer feel, even though it is still arguably mid-summer, because during the dry spell many trees lost leaves - Bring a bear bell or otherwise be sure to make noise.  I saw four piles of bear droppings and heard some suspicious crashing off in the bushes.  No doubt they are black bears - and so relatively harmless - but you want them to know you are coming. Per Garmin,    Every stretch of the figure-8-shaped lot is a one-way (see the attached picture).  Directionality is indicated with traffic signs and pavement arrows.  However, people frequently drive against the one-ways.  We’ve all disregarded parking lot traffic signs, but the lot has blind corners that are only safe when directionality is followed.  I have seen people charging excitedly into the parking lot and around blind corners with the confidence they have the right-of-way to the whole lane.  I have also seen people in a hurry to get home drive furiously around the same blind corners the wrong way.  At some point, people will collide.  So, do not be one of those people; recognize that, once you are in the parking lot, Mad Max rules apply and drive cautiously around every corner assuming someone could be hurtling against the one-way toward you.	Aug 15, 2018	https://www.wta.org/go-hiking/trip-reports/trip_report.2018-08-15.3281597906
Heybrook Lookout	lanceH	Trail in good condition	Road suitable for all vehicles	No bugs	Snow free	Got to trail parking about 9:30 am after deciding to do the hike even though air quality was poor due to BC fires. I was the only vehicle in the parking lot. Went at a brisk pace to top and it was all uphill! There were some less steep parts (I wouldn't exactly say it leveled out) and made it to the lookout tower in 28 minutes. According to my watch (gps garmin triathlon watch) it was only 1 mile to the lookout tower (not 1.3) but that is possibly not 100% accurate. I was just expecting to go about 1/3 mile further according to my watch but the lookout tower was right in front of me! I was the only one up there and enjoyed the limited view due to hazy air for about 20 min. Went to the top of the lookout tower but heights exactly aren't my thing so I didn't spend too much time up there. I pretty much jogged the whole way down and encountered one pair of hikers and also a large group (some kids day camp) on the trail. Made it down in 14 minutes. A quick hike but give you a good workout and on clear days would give excellent views so I may be back soon when the air clears out.	Aug 15, 2018	https://www.wta.org/go-hiking/trip-reports/trip_report.2018-08-15.2040388699
Barclay Lake	Dan Whitmarsh	Trail in good condition	Road suitable for all vehicles	Bugs were not too bad	Snow free	An enjoyable hike for all skill levels. We enjoyed lots of ripe blueberries and huckleberries along the way. Not too crowded, being midweek, but we did pass a few larger groups heading in to camp. The water level is low and the surrounding hills are shrouded in smoke from the B. C. fires. A perfect day hike, and a great introduction to hiking for one of our group.	Aug 15, 2018	https://www.wta.org/go-hiking/trip-reports/trip_report.2018-08-16.7162955868
Tonga Ridge / Mount Sawyer	Snofzig	Trail in good condition	Road suitable for all vehicles	Bugs were not too bad	Snow free	This makes for a great day hike, and I hope to return someday for an overnight. The road leading up to the trailhead is one of the best forest service roads I've been on. You have about 9 ish miles of gravel road to get to the trail, but most of that is very smooth and not super worn. There are patches of potholes and rocks, but for the most part I was able to average 30mph on the straight sections, which for gravel is really fast, and it was pretty smooth. The trailhead is not super big, but on a day like today it was pretty empty with only 2 other cars there. There is a vault toilet a little bit away from the trail, and is signed. You do need to self-issues a (free) wilderness pass for the Alpine Lakes wilderness, which the hike enters. The hike is very nice and involves a bit of elevation gain, but not too much. I only went the first 2 miles to Mt. Sawyer, but the trail was in good condition. If you are looking for views, I would highly reccomend a trip up Mt. Sawyer. I would estimate that its about a mile round trip up and down the mountain. The turn off to climb Mt. Sawyer is marked with a wooden sign now, and there is a large cairn, so it is very hard to miss. The trail is also pretty well maintained, and although it gets a little tight at times, it has some great views. The top of Mt. Sawyer is a great spot to sit down and have some food. There where some bugs, but they weren't nearly as bad as other hikes in similar areas. The views where stellar despite the wildfire haze. Overall this makes a great day hike, and would probably make an enjoyable overnight trip as well.	Aug 15, 2018	https://www.wta.org/go-hiking/trip-reports/trip_report.2018-08-15.5483734635
Wallace Falls State Park	vdubtech	Trail in good condition	Road suitable for all vehicles	Bugs were not too bad	Snow free	Got to parking lot around noon, half full. Made it to middle falls. Still enough water to look good. Very smoky. So few views except the falls.	Aug 15, 2018	https://www.wta.org/go-hiking/trip-reports/trip_report.2018-08-15.8653804339
Tonga Ridge / Mount Sawyer	ninjaracerchick	Trail in good condition	Road suitable for all vehicles	Bugs were an annoyance	Snow free	Time for my annual trip here for blueberries! Smoke is very bad, though it is everywhere. Road is in pretty good shape, once you hit the first spur road it gets even better. The road to Tonga isn’t short, but it’s usally one of the best forest roads I travel all season so it’s pleasurable ! Trail is in great shape, wildflowers are still blooming, and blueberries are and the beginning end of ripe. Bugs were super frustrating! Small amount of mosquitoes, worst was the biting flies! Great time in the mountains	Aug 15, 2018	https://www.wta.org/go-hiking/trip-reports/trip_report.2018-08-15.3359695752
Mount Constitution and Mountain Lake	hikingwithlittledogs	Trail in good condition	Road suitable for all vehicles	No bugs	Snow free	I’ve always said I could hike downhill all day and that’s pretty much what we did.  We started at the summit of Mount Constitution taking in the hazy view from the tower. Picked up a map from the concession stand along with a raspberry lemonade sorbet (you won’t regret it!) then headed off down the very steep trail to Twin Lakes. The trail is dry with some loose dirt. You might bring a hiking pole for your knees. This section of the trail is very quiet. The tall skinny trees look even taller and skinnier because of the steep slope.  We took a detour at Twin Lakes. Not great for swimming but the yellowing lily pads were very pretty. We continued downhill towards Mountain Lake where we took a left to stay on the far side of the lake. This is a Great Lake for swimming. We found a rock in the sun and took a nice break. Watched some canoes paddling and swimmers flying off a rope swing into the lake.  On we went, past some big trees, startling a little deer. At the dam, we stayed left and headed towards Cascade Falls. It was nice to hear the creek along the trail here.  We checked out a trio of pretty little waterfalls. Be careful to stay on the trail. The dogs enjoyed cooling off in the shallow water.  When we reached the south end camp at Cascade Lake we stayed left. Passed some kids jumping off the bridge. Found the rope swing gone so swimmers had to jump from the tree instead.  Finally made it to the swimming beach where we found our chauffeur.  Teenagers spent the day at the beach so it was a perfect summer day all around.  Happy hike-a-thon!	Aug 15, 2018	https://www.wta.org/go-hiking/trip-reports/trip_report.2018-08-16.0499707439
Robinson Creek - Robinson Mountain	Cagey	Trail in good condition	Road suitable for all vehicles	No bugs	Snow free	We arrived at Robinson Creek Trailhead at 11:44 am to find one vehicle and one horse trailer in the parking lot.  We geared up and hit the trail with Beauty Creek Falls as our destination.  We crossed the first bridge at 12:40 pm and made it to the second bridge at 13:35.  Views of Beauty Creek Falls from the second bridge were lovely, so we decided to continue on the climbers trail to try and get closer.  There are some  rocky promontories that afford close up views.  We had lunch and cooled down before heading back the way we came.  We made it back to the trail head at 17:30, totally covered in dust and mud from a long day on the trail.  All told, we did 7.78 miles and approximately 1800 vertical feet.  Some areas of the trail are overgrown but the trail is still clearly defined.  Some salmon berries and huckleberries remained.  There were some deer prints on the trail, and evidence of horses, but we didn’t see any wildlife and only ran into one other couple the entire trip. The smoke wasn’t bad, but definitely limited the views down the canyon.  All in all a fantastic day. The pup report: there is one major creek crossing for water (the first bridge), along with an easier access point slightly upstream.  There are two other small trickles that afforded some opportunity to drink.  There is a flat area near Beauty Creek falls Bridge that also allowed for water access.  A few scree fields were tough on the paws, but overall a dry and dusty trail.  There was some shade, which was a great break from full sun.	Aug 15, 2018	https://www.wta.org/go-hiking/trip-reports/trip_report.2018-08-15.0738907857
Comet Falls	lizquist	Trail in good condition	Road suitable for all vehicles	Bugs were an annoyance	Snow free	Arrived around 10:30. The lot was full, but there was space on the road. The trail is in great condition and is easy to follow. The switch backs get a little steep but nothing crazy. Beautiful views at both waterfalls. The smoke wasn’t awful but we certainly noticed a difference and the sky was pretty hazy.	Aug 15, 2018	https://www.wta.org/go-hiking/trip-reports/trip_report.2018-08-15.1471581249
Mohawk Falls and Mohawk Mine	karnage	Obstacles on trail:	    Trees down across trail.	Road suitable for all vehicles	Bugs were not too bad	Thanks to the trip report by CP below, I decided to take my to kids out to see this waterfall. To get here, you need to turn on Old Cascade Highway, headed south from Highway 2. Then you follow the road until you get to the forest road where you turn right and it turns into gravel. From there, as someone else mentioned, it is 3.2 miles to the 'trailhead'. That's exactly where I found it. I had to get out of the car to see where the trail started and make sure I was in the right spot. It's where the culvert goes under the road, too the right side there's a huge old growth stump where the trail begins. From there the trail was relatively easy to follow. My four year old managed the trail without much difficulty, and actually had a lot of fun climbing over some of the obstacles. There are a few small trees down but nothing that's too tricky. Huckleberries are all around the trail, as well as blueberry bushes that are as high as my head. A few huge old trees were interesting to see as well. The falls were peaceful and beautiful. We ate our lunch there and then headed back. Since it's August, probably the flow is a bit lower than it would be normally, so a lot of the big smooth rock was exposed where we sat. It was fine for my four year old, but I didn't let my two-year-old off my back because I didn't feel it was safe enough. We didn't see the mine, but I wasn't sure where to look and I'm not sure that it would be safe for kids. The falls were enough for us! I would agree with the 1. 2 mile round-trip assessment. #hikeathon	Aug 15, 2018	https://www.wta.org/go-hiking/trip-reports/trip_report.2018-08-15.7330307990
East Fork Foss - Necklace Valley	OldB	Trail in good condition	Road suitable for all vehicles	Bugs were an annoyance	Snow free	Question:  The guide above says that if you make a loop going up Necklace Valley and coming down by Big Heart Lake, "	Aug 15, 2018	https://www.wta.org/go-hiking/trip-reports/trip_report.2018-08-15.3981694522
Thunder Knob	JoeHendricks	Trail in good condition	Road suitable for all vehicles	Bugs were an annoyance	Snow free	This was a smoke day classified as ‘moderate’ by EPA’s smoke website to give you an idea of conditions here when you see that rating.  I’ll add more photos and the hike video when I get nack to wifi. Smoke:  from the viewpoints we could only see the outline of Pyramid and Colonial peaks.  Same with Sourdough scross the lake.  No breathing trouble though and I have asthma. bugs: yellow jackets at the viewpoints were a pest wildflowers: only some pearly everlasting, hardhack and fireweed.   Wildlife: saw three teenage spruce grouse chicks and thier mom!	Aug 14, 2018	https://www.wta.org/go-hiking/trip-reports/trip_report.2018-08-15.3091283487
