title,region name,uid,average_rating,elevation_gain,highpoint,mileage,mileage_type,tripreport_count,campsites,coast,dogs_ok,foliage,kids_ok,lakes,mountains,old_growth,ridges,rivers,summits,waterfalls,wildflowers,wildlife
Burley Mountain,South Cascades -- White Pass/Cowlitz River Valley,00c1056afd370a9cd52ab8441c7e2870,3.16666666667,400.0,5304.0,7.0,1,21,0,0,0,0,1,0,1,0,0,0,1,0,0,0
Hurricane Hill,Olympic Peninsula -- Northern Coast,00dd3becd7d1e9852edd6fec13452232,4.16666666667,650.0,5757.0,3.2,1,226,0,0,0,0,1,0,1,0,1,0,1,0,1,1
Domerie Peak,Snoqualmie Region -- Cle Elum Area,00efa49e0ff75d5001086b18bd611cfa,2.0,None,None,18.0,1,22,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Johnson Peak - Lily Basin,South Cascades -- Goat Rocks,01022558c1bb919c08f3157271dc5d64,3.5,1900.0,6100.0,12.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Colchuck Lake,Central Cascades -- Leavenworth Area,010daa60492064f1dca0136a0638a5aa,4.36585365854,2280.0,5580.0,8.0,1,1525,1,0,0,1,0,1,1,0,0,1,1,0,0,0
Little Creek Trail,Issaquah Alps -- Cougar Mountain,011a12ef75814cb2b4491e9342e0c5a7,0.0,315.0,900.0,1.2,1,5,0,0,1,1,1,0,0,0,0,1,0,0,1,0
Double Bluff,Puget Sound and Islands -- Whidbey Island,011b03722940964c2096dbb601690d29,3.36363636364,None,None,4.0,1,49,0,1,0,0,1,0,1,0,0,0,0,0,0,1
Crowell Ridge,Eastern Washington -- Selkirk Range,01281b449baeb55c41a021e2622a6c7f,3.8,2700.0,6880.0,8.4,1,13,1,0,1,0,0,0,1,1,1,0,1,0,1,1
Talapus Lake Snowshoe,Snoqualmie Region -- Snoqualmie Pass,012cac314da6cb04aade75f2f04a63ba,3.0,1600.0,3280.0,8.5,1,106,0,0,0,0,0,1,1,0,0,0,0,0,0,0
Kanaskat-Palmer State Park,Puget Sound and Islands -- Seattle-Tacoma Area,0148f671d6b34089af7f3090078b2e0c,4.0,None,None,3.0,1,14,1,0,0,0,0,0,0,0,0,1,0,0,0,1
Point No Point Park,Olympic Peninsula -- Kitsap Peninsula,01517e710a0e4a8c85ad514388a216e4,3.5,100.0,0.0,2.0,1,35,0,1,1,1,1,0,1,0,0,0,0,0,0,1
Gold Creek County Park,Puget Sound and Islands -- Seattle-Tacoma Area,0157035e3bac4c958aa204b0ba643505,0.0,None,None,None,1,5,0,0,0,0,1,0,0,0,0,1,0,0,0,0
Narbeck Wetland Sanctuary,Puget Sound and Islands -- Seattle-Tacoma Area,01586f50131809b11b4a060bae5ec9ca,3.25,0.0,0.0,2.0,4,35,0,0,0,0,1,1,0,0,0,0,0,0,0,1
Pine Marten Trail,South Cascades -- Mount St. Helens,0160afe7c24d56a97c51fafffe3976b4,3.25,None,None,None,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Klahhane Ridge,Olympic Peninsula -- Northern Coast,016e860272dc6b179d75d4d4c8ae3d39,4.42857142857,1700.0,6050.0,5.0,1,195,0,0,0,0,0,0,1,0,1,0,1,0,1,1
Cow Heaven,North Cascades -- North Cascades Highway - Hwy 20,018adc28377fba433a8d55fb6e8be62f,3.71428571429,4000.0,4400.0,10.0,1,62,0,0,1,0,0,0,1,1,0,0,0,0,0,0
Coyote Wall - The Labyrinth Loop,Southwest Washington -- Columbia River Gorge - WA,018cdc2d8f1242f49658928ec6603f7a,4.0,1200.0,1250.0,7.7,1,52,0,0,1,0,0,0,1,0,0,1,0,1,1,0
Holman Pass (Seven Pass) Loop,North Cascades -- Pasayten,0196fefb2243dc356b3fc1a28efe59b9,5.0,None,None,None,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lost Lake,South Cascades,019dc6fcb8f3b2c14a0b3cce03637239,4.75,None,None,None,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Salal Trail,Puget Sound and Islands -- Bellingham Area,01a165b058f44cdba6cd32894e9160f0,0.0,None,None,None,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Potters Pond Fishing and Observation Platform,Eastern Washington -- Selkirk Range,01a6b712f942440db4ce9b77e0c3b0ed,0.0,None,None,0.25,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
North Fork 25 Mile Creek,Central Cascades,01bc88f323f5d25458f8d9f13e43fbc4,3.25,None,None,None,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Admiralty Inlet Natural Area Preserve,Puget Sound and Islands -- Whidbey Island,01c665d9085e4dc5b40b1f3a84ca7db7,0.0,None,None,2.3,4,2,0,1,1,0,1,0,0,1,0,0,0,0,1,1
Rotary Dominion Meadows Trail,Eastern Washington -- Selkirk Range,01c9e3ea6b31429bbd5cb97d9cb9e415,3.0,30.0,1920.0,2.25,1,1,0,0,1,1,1,0,1,0,0,0,0,0,1,1
Cutthroat Pass via the Pacific Crest Trail,North Cascades -- North Cascades Highway - Hwy 20,01dc146c20d82142906d12937d84f160,3.93333333333,2000.0,6800.0,10.0,1,374,1,0,1,0,0,0,1,0,1,0,0,0,1,1
Tonga Ridge Snowshoe,Central Cascades -- Stevens Pass - West,01f52af5a97d4e5dcb4b2a70ca3cb7f8,5.0,1400.0,5100.0,7.0,1,50,0,0,0,0,0,0,1,0,1,0,0,0,0,0
Enchanted Forest Trail,Puget Sound and Islands,01fa8590a30a4a38b5529867105c004b,0.0,None,1080.0,None,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Naneum Meadows,Central Cascades -- Blewett Pass,01fe93ed4b8be410f0911e0625713c5d,2.5,None,None,None,1,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Sunset Park and Golden Lakes,Mount Rainier Area -- NW - Carbon River/Mowich,020ad4a03f0adb6dfcc60d5f397ad893,3.66666666667,None,None,None,1,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ninetynine Basin,North Cascades,0213d703550c7c04ae66217873b08671,3.5,None,None,None,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lone Fir Loop,North Cascades -- North Cascades Highway - Hwy 20,021fefac6652f6fc1092a4312ce7821b,3.8,100.0,None,2.0,1,18,0,0,1,0,1,0,0,1,0,1,0,0,0,1
Castle Pass,North Cascades,02218c65552e233bf956fbe2b4da07e2,2.5,5400.0,6600.0,18.9,5,32,0,0,0,0,0,0,1,0,1,0,0,0,0,1
Pacific Crest Trail (PCT)  - Bridge of the Gods to Rock Creek,Central Cascades,0221f9188b124e6fa7988a6833f7d4c0,0.0,None,None,None,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bullion Peak,Mount Rainier Area -- Chinook Pass - Hwy 410,02287f82c08345f08facc7ce4946cf5e,0.0,None,None,None,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Meadowdale Beach Park,Puget Sound and Islands -- Seattle-Tacoma Area,02295e022946e13f812f0b43d277db34,3.0,None,413.0,None,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Beaver Peak,North Cascades -- Mountain Loop Highway,02340fa88fa3423d8aece986e06303fe,0.0,1700.0,5113.0,2.6,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0
Shelokum Mountain,North Cascades -- Methow/Sawtooth,024f13a8a6694ad78af6b0a63c8e54a1,0.0,None,None,None,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Diobsud Creek,North Cascades -- North Cascades Highway - Hwy 20,02645782ae9205103b4f768461f6448e,3.75,440.0,900.0,4.0,1,22,0,0,0,1,0,0,0,1,0,1,0,0,0,0
Tarbell Trail,Southwest Washington -- Lewis River Region,026dc3b0e1be22946bcdaf067992b516,2.33333333333,None,4120.0,24.75,1,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cottonwood Canyon State Park,Central Cascades,029137750e4a45f888ded039ee21c335,0.0,50.0,None,4.3,5,2,0,0,1,0,0,0,0,0,0,1,0,0,1,1
Ross Ferry Cutoff,North Cascades -- North Cascades Highway - Hwy 20,0295c5a777e4444c8f34c90b22eb8b1b,0.0,None,None,None,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adams Creek Meadows,South Cascades -- Mount Adams Area,0299b09bfa52878bc65865cfa4037193,3.88888888889,2300.0,6840.0,8.0,1,10,0,0,0,0,0,0,1,0,0,1,0,1,1,0
Sopwith Camel Mountain,Central Cascades -- Stevens Pass - West,02a7a86527b8440ba4bb2c16781d38e0,0.0,None,None,None,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Upper Suiattle River ,North Cascades -- Mountain Loop Highway,02baefc2eb434025a51512e9d4032eab,0.0,2320.0,4000.0,16.0,5,15,0,0,0,0,0,0,0,1,0,1,0,0,0,0
Tiptop,Central Cascades -- Blewett Pass,02ca32640d774d6786aea09958af48ef,0.0,None,4760.0,None,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sentinel Bluffs,Central Washington -- Tri-Cities,02cadac51d26b947992fb393ad3dc6f1,3.0,None,None,None,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mirror and Cottonwood Lakes,Snoqualmie Region -- Snoqualmie Pass,02d423ed50afbee76e52826a0fb3a754,4.22727272727,870.0,4200.0,2.2,1,292,1,0,1,1,1,1,0,0,0,0,0,0,1,0
Old Robe Canyon,North Cascades -- Mountain Loop Highway,02d59ac312e13acf87d45a56d8356824,3.41935483871,350.0,1050.0,2.4,1,281,0,0,1,0,1,0,0,0,0,1,0,0,0,0
Ape Canyon,South Cascades -- Mount St. Helens,02e5acbfccda453ae4a1d7e47591454b,2.8,1400.0,2800.0,11.0,1,55,0,0,0,0,0,0,1,1,0,0,0,0,1,1
Stevens Lake,Eastern Washington -- Spokane Area/Coeur d'Alene,02ed9ddef11942b4a118200af4ee95eb,0.0,None,None,None,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Twin Lakes and Mount Pickett,Puget Sound and Islands -- San Juan Islands,03021efc89774bab90dda682324c3f60,0.0,915.0,1749.0,7.6,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Stevens Peak,Mount Rainier Area -- SE - Cayuse Pass/Stevens Canyon,030a5ba7b477c200b23ad99d1e02f220,3.5,None,None,None,1,3,0,0,0,0,0,0,1,0,0,0,1,0,0,0
Cougar Lakes,Mount Rainier Area -- Chinook Pass - Hwy 410,030c5bd8e0664f3d9b9b86cb04c86020,2.57142857143,1700.0,5400.0,11.0,1,49,0,0,1,0,0,1,1,0,0,1,0,0,1,0
Durr Road and North Yakima Skyline,Central Washington -- Yakima,0311aa0108238bbafc914ee591260caa,2.0,1250.0,None,9.0,1,10,0,0,0,0,0,0,0,0,1,1,0,0,1,1
Gouging Lake,Central Cascades -- Stevens Pass - West,03166cddd81e4032b8def207a88a7289,0.0,None,None,None,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ten Mile,Eastern Washington,031b00c431c35166b19303ceeea97338,3.6,None,None,None,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ice Creek - Ice Lakes,Central Cascades -- Entiat Mountains/Lake Chelan,032d093c8062d28df7107ec219c82741,4.2,4200.0,6900.0,28.0,1,42,0,0,0,0,0,1,1,1,1,1,1,1,0,1
Duncan Hill,Central Cascades -- Entiat Mountains/Lake Chelan,033c46d52636c7a6184edb902d57dc58,3.16666666667,3000.0,7819.0,13.6,1,14,0,0,0,0,0,0,1,0,1,0,1,0,1,1
Iron Cap Mountain,Central Cascades -- Stevens Pass - West,033e76688e86460281ea6b0bc55abc80,0.0,None,6347.0,None,1,16,0,0,0,0,0,1,1,0,0,1,1,0,1,0
Old Pass Hill,Central Cascades -- Blewett Pass,034a3d55332347478a512a434c6c241a,2.0,None,4885.0,6.5,5,5,0,0,1,0,0,0,1,0,0,0,1,0,0,0
Osborne Mountain,South Cascades,0350eac2ecff8b4986eaf65290e8ed9b,3.0,3474.0,4920.0,10.7,1,11,0,0,1,0,0,0,1,0,0,0,0,0,0,0
Boulder Basin,Central Cascades,0368121226f2fd8544a9bdb65b50d77d,3.4,None,None,None,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cow Creek Meadows,Central Cascades -- Entiat Mountains/Lake Chelan,037427a390893168a6ed40f31d3e03af,4.0,None,None,None,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Crescent Beach Preserve,Puget Sound and Islands -- San Juan Islands,037eb1c549e649728564c23737a10ce5,3.0,40.0,60.0,1.5,1,2,0,1,0,1,1,0,0,0,0,0,0,0,0,1
Copper Point,North Cascades -- North Cascades Highway - Hwy 20,0395552f2b07eb84c4f005932a96f066,2.66666666667,None,7840.0,None,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Seal Rock,Olympic Peninsula -- Hood Canal,03ab57c9d0edcd0d247403af4df90586,2.25,None,None,None,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cascade Trail,Puget Sound and Islands -- Bellingham Area,03ca85c036f04da1aa78fbf43b3cd0eb,2.5,60.0,230.0,22.5,5,14,0,0,1,0,1,0,0,0,0,1,0,0,0,0
Big Gulch,Puget Sound and Islands -- Seattle-Tacoma Area,03e560cc2d6e4dbb2b04b671224e6a1e,2.875,300.0,460.0,2.6,1,37,0,0,1,1,1,0,0,0,0,0,0,0,1,1
Chopaka Mountain,North Cascades -- Pasayten,03ea3adfcac3087bb4b1c17ce59f7f7b,3.25,None,None,None,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bullitt Gorge,Issaquah Alps -- Squak Mountain,03f14512ee91a43d944708561f1355f2,2.4,None,None,None,1,52,0,0,1,0,1,0,1,0,1,0,0,0,0,1
Griffith-Priday State Park - Copalis River Spit,Southwest Washington -- Long Beach Area,040791cce4b703ac2bbd8ca6c5cbe714,3.8,40.0,25.0,4.0,1,32,0,1,1,0,1,0,0,0,0,1,0,0,0,1
Boulder Creek Trail,North Cascades -- Methow/Sawtooth,04115baf1df2420bbbcda51976766365,0.0,None,None,None,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Windy Ridge and Plains of Abraham,South Cascades -- Mount St. Helens,041fe77202be7cadba51aa0e9fb2beb1,4.1,2000.0,4850.0,8.0,1,42,0,0,0,0,0,0,1,0,1,0,0,0,1,0
Snowfield Peak,North Cascades -- North Cascades Highway - Hwy 20,042ab3fb8682448bbc0df4d9e03a5753,0.0,5032.0,6000.0,14.0,1,4,1,0,0,0,0,1,1,1,1,0,1,1,1,0
Yellow Hill,Snoqualmie Region -- Salmon La Sac/Teanaway,042bddc847c0bb94dc21455a6aeaa51d,2.71428571429,2827.0,5527.0,8.0,1,32,0,0,0,0,0,0,1,0,0,0,0,0,1,0
Foss Peak,Mount Rainier Area -- SW - Longmire/Paradise,0446ca31ecc0415680163c76539451d6,0.0,None,None,None,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lookout Mountain Lookout,North Cascades -- North Cascades Highway - Hwy 20,04492f230aff7dbd474ae7ea6c966a1b,4.14285714286,4500.0,5719.0,9.4,1,170,0,0,0,0,0,0,1,0,0,0,1,0,1,0
Harts Pass to Holman Pass,North Cascades -- Pasayten,044e26eb6fa2e3ccd7542d9ca25d06d9,4.0,None,6900.0,28.8,1,31,1,0,0,1,0,0,1,0,1,0,0,0,0,0
Pacific Crest Trail (PCT) - Bridge of the Gods to Road 23,Southwest Washington -- Columbia River Gorge - WA,04593b0f727e4720850d415ae91b349f,0.0,None,None,None,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shark Rock,South Cascades,045f538c1ffde1d1cce40b107cf34759,2.8,None,None,None,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kennedy Ridge,Central Cascades,0466a946b87ec6c1f40982232bfd7c9a,2.6,None,None,None,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Liberty Cap,Central Cascades,046a5ffe0603416aa544a2e65ce71441,0.0,None,None,None,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Grouse Vista Trail ,Mount Rainier Area,0474fdc4ffacf4b7f93fc9e24eaeaed9,2.0,None,None,None,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
North Butte,Puget Sound and Islands -- Bellingham Area,047d8220362be3990c83bce17424cdb4,4.0,910.0,2178.0,6.12,1,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Preacher's Slough to Blue Slough,Southwest Washington -- Long Beach Area,04b67d19220ec46ea1d62eaf08f05a2a,1.75,0.0,20.0,7.0,1,19,0,0,1,0,1,0,0,0,0,1,0,0,0,1
Striped Peak,Olympic Peninsula -- Northern Coast,04b90cd73dd583b986202213f98a5e0e,3.3,850.0,1166.0,5.0,1,40,1,1,1,0,1,0,0,1,0,0,0,0,0,0
Big Jim Hill,Central Cascades -- Leavenworth Area,04bb2c6918b1c5d723c96c14596e811f,5.0,None,6765.0,None,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Riverside State Park - Trail 210,Eastern Washington -- Spokane Area/Coeur d'Alene,04c1fcedba0a48debe95e081fb546af4,0.0,None,None,None,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Downtown Bellevue Park,Puget Sound and Islands -- Seattle-Tacoma Area,04c56d1ced6846b79018067e3687da48,0.0,None,None,0.5,1,3,0,0,1,0,1,0,1,0,0,1,0,1,0,0
Ruston Way,Puget Sound and Islands -- Seattle-Tacoma Area,04d7ae16222b4969a5196f38119608c8,4.33333333333,None,None,7.0,1,14,0,1,1,0,1,0,0,0,0,0,0,0,0,0
Glacier Peak Meadows,North Cascades -- Mountain Loop Highway,051954f81d54484d9568871eea94fe63,0.0,4350.0,6450.0,25.0,1,36,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Wild Goose,North Cascades -- Mount Baker Area,053c54b8dcad7c54d56349ccd90b2c60,3.25,1100.0,5100.0,1.4,1,49,0,0,1,1,0,1,1,0,0,0,0,0,0,0
Dry Creek,South Cascades -- Mount Adams Area,05411f0ce05f4151592f4de40301d6d5,4.0,350.0,1500.0,8.4,1,15,1,0,1,0,1,0,0,0,0,1,0,0,1,1
Deer and Sand Lake,South Cascades -- White Pass/Cowlitz River Valley,054406b57441694dcf31b27ba1e1fb55,2.77777777778,960.0,5315.0,5.2,1,54,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Brew Hill,Issaquah Alps,054e0cd5c7db41108e8b9e2e5df114ad,0.0,None,None,None,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hessong Rock and Mount Pleasant,Mount Rainier Area -- NW - Carbon River/Mowich,059e8b8bc71b4d4bdb73dfeea7027421,4.0,None,None,None,1,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bayshore Preserve,Olympic Peninsula -- Olympia,05ab7b11705449c1abc91526be8530fe,0.0,None,None,None,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
West Cady Ridge to Benchmark Mountain,Central Cascades -- Stevens Pass - West,05c64656c23f1620a2f5cdda82f56145,3.42857142857,3700.0,5816.0,14.4,1,181,0,0,1,0,0,0,0,0,0,0,0,0,1,0
Iron Peak,Snoqualmie Region -- Salmon La Sac/Teanaway,05d7225cf010de0d18585d340e2864ee,4.22222222222,2360.0,6160.0,7.6,1,283,0,0,1,0,0,0,1,0,1,0,0,0,1,0
Japanese Gulch,Puget Sound and Islands -- Seattle-Tacoma Area,0607a560bb996d8addbb063615ebcb39,3.11111111111,174.0,363.0,4.0,4,75,0,0,1,0,1,0,1,1,0,1,0,1,0,0
Rooster Comb,Central Washington -- Wenatchee,06126faa2aec46d19733c03d95160e37,0.0,None,None,None,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sultan Gorge,Central Cascades -- Stevens Pass - West,061d617875b65dae51c7f93e29d56a3f,4.0,None,None,None,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Baldy Mountain,North Cascades -- Methow/Sawtooth,062ab1da818a4f34b573c8b42ce55ce1,0.0,None,7840.0,None,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hoh-Bogachiel,Olympic Peninsula -- Pacific Coast,0645e30a94e6d3ce08e2c3625dac9bdc,1.75,None,None,None,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cle Elum Point,Snoqualmie Region -- Cle Elum Area,0649db629360007c9435a38ae04cb78e,5.0,None,None,None,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Madcat Meadow,South Cascades,066d3ba6af23fe038850f723bd423225,3.0,None,None,None,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Terrace Creek Park,Puget Sound and Islands -- Seattle-Tacoma Area,06728509dcfc401b9c051380dbb89f10,0.0,80.0,440.0,2.0,1,15,0,0,1,1,1,0,0,0,0,0,0,0,1,1
Silver Moon,North Cascades -- Pasayten,0680f7facaf1a7c114d2ea83ad423b5b,0.0,None,8252.0,None,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pompey Peak,South Cascades -- White Pass/Cowlitz River Valley,0682b6d6f4a1492210f160d9e4b1717f,4.33333333333,2000.0,5180.0,14.0,1,14,0,0,1,0,0,0,1,0,0,0,1,0,0,0
Fog City,South Cascades,0695c095a77f5c66ad3eb9f70be64a1d,2.75,None,None,None,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Boardman Lake,North Cascades -- Mountain Loop Highway,06b4ca92a238d503e4c965396bcb9b21,3.3125,300.0,3050.0,2.0,1,219,1,0,1,0,1,1,1,1,0,0,0,0,0,0
Ohanapecosh Hot Springs,Mount Rainier Area -- SE - Cayuse Pass/Stevens Canyon,06c68fa92ce477a3f255cd3aebc56067,3.85714285714,50.0,2000.0,0.4,1,16,1,0,0,0,1,0,0,0,0,1,0,0,0,0
Indian Creek,South Cascades -- White Pass/Cowlitz River Valley,06de01a39275e0895bcf5c345b503b3f,4.25,None,None,None,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bagley Seam Trail,Issaquah Alps -- Cougar Mountain,06e2eeef01bac3e02be874bd0b627b90,3.25,None,None,0.4,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Julia Butler Hansen National Wildlife Refuge for the Columbian White-Tailed Deer,Southwest Washington -- Long Beach Area,06f7ae6494e71cac3295e518febc15a9,2.2,0.0,20.0,5.6,1,7,0,0,0,0,0,0,0,0,0,1,0,0,0,1
French Butte,South Cascades,0701a6170aa58d135d763941851bd32b,2.0,None,None,None,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Moments in Time Interpretive Trail,Olympic Peninsula -- Northern Coast,07115d52895d43339889c9273e4f9cb2,4.0,0.0,None,1.0,1,3,0,0,0,0,1,1,1,1,0,0,0,0,1,1
Oval Peak,North Cascades -- Methow/Sawtooth,0711b032482c3bd7a6803da1a8658954,4.0,None,8795.0,None,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wynoochee Lake,Olympic Peninsula -- Olympia,071a04e45d48669a39760de004537a0e,2.875,1100.0,950.0,12.0,1,45,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Candy Mountain Trail,Central Washington -- Tri-Cities,07383f45e6e744aaa0d42d666dab85e1,5.0,555.0,1383.0,3.6,1,13,0,0,1,0,1,0,1,0,0,0,1,0,1,1
Frigid Mountain,Central Cascades -- Leavenworth Area,074844dde08d3777003205cf9f6d1fb9,4.0,None,7377.0,None,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gold Basin Mill Pond Interpretive Trail,North Cascades -- Mountain Loop Highway,0752d04b7d5b3dd7a32b827e537641ac,3.0,0.0,None,0.25,1,10,0,0,1,0,1,1,0,0,0,0,0,0,0,1
Cabin Creek Snowshoe,Snoqualmie Region -- Snoqualmie Pass,07580066d6cf4745b936538f0d723c03,0.0,None,None,2.4,1,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Lakeview Ranch,Eastern Washington -- Spokane Area/Coeur d'Alene,0775d8d13a65322ac7c4af99b11d556f,3.75,600.0,1800.0,13.0,1,4,0,0,0,0,0,1,0,0,0,0,0,0,0,1
Cape Flattery,Olympic Peninsula -- Pacific Coast,077a2221039438b29cfe3ff9f0a54076,4.34042553191,200.0,250.0,1.5,1,185,0,1,1,0,1,0,0,0,0,0,0,0,0,1
Rampart Ridge Loop,Mount Rainier Area -- SW - Longmire/Paradise,077cb7ed755c25439ec08ace032b12f6,3.0,1300.0,4080.0,4.5,1,259,0,0,0,0,1,0,1,1,1,1,0,0,1,0
Elip Creek,Olympic Peninsula -- Olympia,07837712c87234f81572b81ac1196093,2.6,None,None,None,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Salt Creek,South Cascades,078e6fe54b314469dcddc256a8d3f490,2.0,None,None,None,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Snow Mountain Ranch,Central Washington -- Yakima,07a04cd091d9af898c1e823f32381d15,3.0,1140.0,3376.0,9.2,1,199,0,0,1,0,1,0,1,0,0,0,0,0,0,1
Silver Lakes,Olympic Peninsula -- Hood Canal,07a6d0112ce18ce0ceb631bae2bd905f,4.27272727273,3400.0,5700.0,11.0,1,141,1,0,1,0,0,1,1,0,1,0,0,0,0,0
Fifes Ridge,Mount Rainier Area -- Chinook Pass - Hwy 410,07a72850457dffb3df2bcfc84740a50f,3.0,3100.0,6000.0,8.0,1,38,0,0,1,0,0,0,1,0,0,0,0,0,0,0
Marble Pass,North Cascades,07aecab79838c2a2cbe5f22e6a89f019,2.75,None,None,None,1,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0
