,hike_name,hike_id,numReports,total_dist,elevation gain,time_from_seattle,Wildlife,Rivers,Summits,Good for kids
178,Franklin Falls,178,369.0,2.0,400.0,52.5666666667,0,1,0,1
179,Douglas Creek Canyon - South,179,9.0,5.0,100.0,187.683333333,1,0,0,0
180,Stevens Canyon Waterfalls,180,11.0,7.0,700.0,135.5,0,0,0,0
181,Comet Falls,181,108.0,3.8,1250.0,130.683333333,0,0,0,0
182,Lover's Lane Loop,182,10.0,,,211.9,0,0,0,1
183,Bean Creek Basin,183,163.0,7.0,2000.0,121.35,0,0,0,0
184,Columbia Plateau Trail - Fish Lake,184,2.0,7.5,200.0,246.9,1,0,0,0
185,Waptus River,185,96.0,22.0,560.0,108.883333333,0,0,0,0
186,Kelcema Lake,186,61.0,1.2,29.0,105.35,1,0,0,1
187,Boulder Cave,187,27.0,2.0,300.0,146.916666667,0,0,0,1
188,North Twentymile Peak,188,6.0,13.0,4387.0,269.816666667,0,0,0,0
189,Castle Rock,189,2.0,,,151.816666667,1,0,0,1
190,Diobsud Creek,190,9.0,4.0,440.0,122.966666667,0,0,0,0
191,Wind Mountain,191,1.0,,,,0,0,0,0
192,Suiattle River Trail,192,124.0,13.8,900.0,163.5,0,1,0,1
193,Beezley Hills Preserve,193,19.0,3.0,400.0,164.766666667,0,0,0,0
194,Clara and Marion Lakes,194,28.0,3.2,900.0,173.45,1,0,0,0
195,Silver Falls,195,20.0,1.8,700.0,224.133333333,0,0,0,1
196,Miners Ridge (Entiat),196,1.0,4.0,850.0,181.35,0,0,0,0
197,Cougar Mountain (Entiat),197,3.0,10.0,1200.0,165.55,0,0,1,0
198,Poe Mountain,198,28.0,6.0,3000.0,182.566666667,0,0,1,0
199,Meander Meadows,199,44.0,12.5,2475.0,182.566666667,1,1,0,0
200,Cady Ridge,200,56.0,13.0,2700.0,182.566666667,0,0,0,0
201,Pear Lake,201,10.0,12.0,2600.0,179.633333333,0,0,0,0
202,Upper Icicle Creek,202,52.0,10.0,400.0,174.116666667,0,0,0,1
203,Bootjack Mountain,203,25.0,8.0,3900.0,173.466666667,0,0,0,0
204,Ancient Lakes,204,171.0,12.0,625.0,159.75,1,0,0,1
205,Trout Lake,205,65.0,11.5,2000.0,170.683333333,0,0,0,0
206,Lake Edna,206,28.0,12.5,4500.0,165.533333333,0,0,0,0
207,Icicle Ridge via Fourth of July Creek,207,186.0,12.0,4370.0,152.916666667,0,0,0,0
208,Trail of Two Forests,208,6.0,0.5,50.0,185.316666667,0,0,0,0
209,Chiwaukum Creek,209,95.0,12.0,1550.0,125.033333333,0,0,0,0
210,Lake Julius and Loch Eileen,210,12.0,7.0,1400.0,124.533333333,0,0,0,0
211,Larch Lake,211,16.0,12.0,2450.0,124.533333333,0,0,0,0
212,Lake Janus and Grizzly Peak,212,77.0,7.2,1550.0,120.05,0,0,0,0
213,Surprise and Glacier Lakes,213,244.0,11.0,2700.0,94.3666666667,0,0,0,0
214,Lake Elizabeth,214,29.0,0.7,50.0,82.7166666667,0,0,0,1
215,Crater Lakes,215,28.0,8.6,2350.0,245.466666667,0,0,0,0
216,Libby Lake,216,12.0,11.0,3320.0,258.983333333,0,0,0,0
217,Louis Lake,217,19.0,10.5,2300.0,277.383333333,0,0,0,0
218,Copper Pass,218,18.0,10.0,3160.0,283.2,1,1,0,0
219,Lost River,219,13.0,8.0,300.0,216.15,1,0,0,0
220,Cutthroat Pass,220,92.0,10.0,2000.0,181.05,0,0,0,0
221,Pyramid Lake,221,26.0,4.5,1500.0,144.183333333,1,0,0,0
222,Skagit River,222,4.0,1.8,100.0,136.816666667,0,0,0,1
223,Goat Mountain,223,108.0,11.0,4100.0,154.566666667,0,0,1,0
224,Cow Heaven,224,34.0,10.0,4000.0,119.9,0,0,0,0
225,Huckleberry Mountain,225,44.0,12.0,4600.0,129.9,0,0,1,0
226,Crystal Lake,226,16.0,9.0,2300.0,130.333333333,0,0,0,0
227,Round Lake,227,26.0,11.0,4300.0,127.45,0,0,0,0
228,Boardman Lake,228,104.0,2.0,300.0,95.1333333333,0,0,0,1
229,Tin Can Gap,229,14.0,12.0,2800.0,132.166666667,0,0,0,0
230,Baker River,230,89.0,5.0,300.0,142.916666667,0,1,0,1
231,Staircase Rapids,231,148.0,4.0,150.0,131.716666667,0,0,0,1
232,Ape Caves,232,90.0,2.8,350.0,187.083333333,0,0,0,0
233,Iron Creek Campground,233,3.0,1.5,1200.0,147.7,0,0,0,1
234,Snoqualmie Lake,234,108.0,17.0,1900.0,71.9166666667,1,1,0,0
235,Kelly Butte,235,87.0,3.4,900.0,117.783333333,1,0,1,0
236,Tahoma Creek Suspension Bridge - Emerald Ridge Loop,236,28.0,14.2,3100.0,132.283333333,0,0,0,0
237,Twisp Pass,237,51.0,9.0,2460.0,283.2,0,1,0,0
238,Lincoln Park,238,2.0,1.85,160.0,18.9833333333,0,0,0,1
239,Kukutali Preserve,239,18.0,2.2,200.0,82.2833333333,1,0,0,1
240,Deception Pass State Park - Goose Rock,240,58.0,4.3,484.0,95.3333333333,0,0,0,1
241,Dog Mountain,241,105.0,6.0,2800.0,212.533333333,0,1,1,0
242,Cowiche Canyon,242,119.0,6.0,100.0,144.333333333,1,0,0,1
243,Red Top Lookout,243,57.0,1.5,350.0,117.016666667,0,0,1,0
244,Mount Washington,244,446.0,8.5,3250.0,38.2833333333,0,0,0,0
245,Lake Stuart,245,181.0,9.0,1665.0,172.3,0,0,0,0
246,Icicle Ridge,246,135.0,6.0,1800.0,133.9,1,0,0,0
247,Elbo Creek,247,11.0,10.0,1910.0,118.516666667,0,0,0,0
248,Union Creek,248,26.0,14.0,2500.0,122.083333333,1,0,0,0
249,Island Center Forest,249,9.0,10.0,200.0,71.0666666667,0,0,0,1
250,Capitol State Forest - Porter Falls,250,14.0,2.0,100.0,101.883333333,1,0,0,1
251,Dirty Harry's Balcony,251,221.0,6.0,1300.0,42.2,1,0,0,0
252,Nook Trail,252,38.0,6.0,2000.0,,0,0,0,0
253,Iceberg Point,253,17.0,3.0,50.0,187.133333333,0,0,0,1
254,Point Defiance Park,254,44.0,5.0,200.0,47.7833333333,1,0,0,1
255,Chambers Bay Loop,255,40.0,3.25,315.0,51.5,1,0,0,1
256,Iron Goat Trail,256,170.0,6.0,700.0,99.9833333333,0,1,0,0
257,Pulaski Tunnel Trail,257,5.0,,,,0,0,0,0
258,Snoquera Falls Loop,258,175.0,4.2,700.0,88.0166666667,0,0,0,0
259,Carter Falls,259,35.0,7.2,900.0,123.35,0,1,0,1
260,Penrose Point State Park,260,8.0,2.0,140.0,76.1,0,0,0,0
261,Bearhead Mountain,261,64.0,6.0,1800.0,102.65,0,0,0,0
262,High Rock,262,142.0,3.2,1365.0,147.783333333,0,0,0,0
263,Lake Sylvia State Park,263,10.0,5.0,30.0,104.566666667,1,0,0,1
264,Z Lake,264,1.0,,,,0,0,0,0
265,Gillette Lake,265,1.0,5.0,370.0,194.666666667,1,0,0,0
266,Steamboat Rock,266,65.0,6.0,650.0,218.216666667,1,0,0,0
267,Snoqualmie Valley Trail,267,11.0,,,40.1833333333,1,0,0,1
268,Robinson Canyon - Ainsley Canyon,268,37.0,10.0,1200.0,103.483333333,1,0,0,1
269,Fort Steilacoom Park,269,9.0,,,51.9333333333,0,0,0,1
270,Eightmile Lake,270,175.0,6.6,1300.0,167.983333333,0,1,0,0
271,Discovery Park Loop Trail,271,46.0,2.8,140.0,19.7333333333,1,0,0,1
272,Carkeek Park,272,41.0,3.5,800.0,19.7333333333,1,0,0,1
273,Alger Alp (South Route),273,35.0,4.0,1000.0,75.7,0,0,1,0
274,Little Mountain Park,274,22.0,10.0,300.0,64.1166666667,0,0,0,1
275,Cascade Pass and Sahale Arm,275,208.0,12.0,4000.0,172.966666667,1,0,0,0
276,Dosewallips State Park - Maple Valley Loop,276,12.0,,,128.516666667,1,0,0,1
277,Mica Peak,277,1.0,,,290.166666667,1,0,1,0
278,Royal Basin - Royal Lake,278,105.0,16.0,2650.0,188.8,0,1,0,0
279,Yakima Greenway,279,0.0,10.0,100.0,129.983333333,1,0,0,1
280,Big Finn Hill Park,280,2.0,9.5,100.0,31.3333333333,0,0,0,1
281,Adventure Trail,281,20.0,1.4,300.0,23.7333333333,0,0,0,1
282,Section Line Trail,282,69.0,1.6,2022.0,71.0333333333,0,0,0,0
283,Rattlesnake Slope Wildlife Area,283,5.0,5.0,1600.0,183.016666667,1,0,0,0
284,Bay to Baker Trail,284,2.0,3.0,100.0,94.2,0,0,0,1
285,Interurban Trail,285,3.0,11.8,300.0,104.366666667,0,0,0,0
286,Cedar Falls - Cedar Creek,286,42.0,3.5,500.0,202.566666667,0,0,0,1
287,Railroad Grade,287,122.0,7.0,2000.0,129.916666667,0,1,0,0
288,Easton Ridge,288,82.0,6.0,2270.0,73.7833333333,0,0,0,0
289,Pete Lake,289,201.0,9.0,400.0,120.433333333,1,1,0,1
290,Boulder River,290,494.0,8.6,700.0,95.1166666667,0,1,0,1
291,Augspurger Trail,291,10.0,,,212.55,0,0,0,0
292,Rampart Ridge - Rampart Lakes,292,200.0,11.0,2200.0,82.8166666667,0,0,0,0
293,McDonald Mountain,293,28.0,15.0,3500.0,49.25,1,0,0,0
294,Lake Whatcom Trail,294,11.0,6.2,100.0,106.733333333,1,0,0,1
295,Lake Padden Park,295,10.0,7.7,400.0,83.95,0,0,0,1
296,Fragrance Lake,296,152.0,5.5,950.0,87.4333333333,0,0,0,1
297,Beacon Rock,297,27.0,2.0,600.0,189.183333333,0,0,0,0
298,Cape Flattery,298,44.0,1.5,200.0,265.55,0,0,0,1
299,Marymere Falls,299,47.0,1.8,500.0,175.416666667,0,1,0,1
300,John Wayne Trail - The Tunnel,300,59.0,5.3,1100.0,53.3,0,0,0,0
301,Liberty Lake Regional Park,301,27.0,8.0,1200.0,283.416666667,1,0,0,1
302,Iller Creek,302,41.0,5.0,1200.0,262.966666667,1,0,0,1
303,Three Peaks Loop,303,2.0,12.6,2858.0,291.5,1,0,1,0
304,Lookout Mountain Snowshoe,304,1.0,8.5,2100.0,,0,0,0,0
305,Mount Townsend - Silver Lakes Traverse,305,8.0,14.0,3200.0,202.183333333,0,0,1,0
306,Vancouver Lake,306,2.0,2.5,10.0,162.816666667,0,0,0,1
307,Pratt Lake Basin,307,300.0,11.0,2300.0,47.2,0,0,0,0
308,Sage Hills,308,13.0,5.5,650.0,153.6,1,0,0,0
309,Saddle Rock,309,17.0,2.0,920.0,157.483333333,0,0,0,0
310,Colchuck Lake,310,424.0,8.0,2280.0,172.3,0,1,1,0
311,Grove of the Patriarchs Loop,311,64.0,1.5,50.0,119.416666667,0,1,0,1
312,Maidenhair Falls,312,4.0,,,181.15,0,0,0,0
313,Shi Shi Beach and Point of the Arches,313,123.0,8.0,200.0,265.483333333,0,0,0,1
314,Goat Lake,314,358.0,10.4,1400.0,118.7,0,1,0,1
315,Jumbo Peak,315,4.0,6.0,1300.0,184.0,0,0,0,0
316,Ptarmigan Ridge,316,108.0,9.0,1350.0,171.7,0,0,0,0
317,Fallsview Canyon (Falls View),317,29.0,1.5,300.0,115.75,0,0,0,1
318,Marmot Pass - Upper Big Quilcene,318,347.0,11.5,3489.0,156.2,1,1,0,1
319,Fourth of July Pass via Thunder Creek,319,58.0,11.2,2400.0,148.8,0,1,0,0
320,Squires Lake,320,24.0,2.0,200.0,76.6333333333,1,0,0,0
321,Sehome Arboretum,321,4.0,,,90.3833333333,0,0,0,1
322,South Bay Trail,322,6.0,4.0,20.0,88.6,0,0,0,1
323,Whatcom Falls Park,323,14.0,4.0,50.0,91.8666666667,0,0,0,1
324,Lookout Mountain Forest Preserve,324,11.0,,,90.7833333333,0,0,0,1
325,Gold Mine Trail,325,14.0,3.5,1330.0,113.383333333,0,0,0,1
326,Mount Si - Old Trail,326,135.0,7.4,3420.0,43.2333333333,1,0,1,0
327,Duckabush River,327,271.0,10.6,2300.0,146.883333333,1,1,0,0
328,Hamilton Mountain,328,55.0,7.5,2000.0,190.366666667,1,0,1,0
329,Deception Falls NRA,329,33.0,0.5,50.0,91.6833333333,0,0,0,1
330,Bennington Lake,330,1.0,,,259.216666667,1,0,0,1
331,Douglas Falls Grange Park - Nature Loop Trail,331,1.0,,,344.6,0,0,0,0
332,Three Forks,332,1.0,6.6,3100.0,,0,0,0,0
333,Tucannon Trail,333,2.0,9.0,800.0,324.166666667,0,0,0,1
334,Lake Tye,334,2.0,2.0,9.0,41.1166666667,0,0,0,1
335,Terrace Creek Park,335,2.0,2.0,80.0,19.7333333333,1,0,0,1
336,Capitol State Forest - Rock Candy Mountain,336,7.0,5.5,1000.0,116.05,1,0,1,0
337,Tiger Mountain Trail North,337,64.0,15.5,2400.0,23.8833333333,1,0,0,0
338,Domke Lake,338,9.0,7.0,1100.0,,1,0,0,0
339,Sawtooth Ridge,339,3.0,8.0,500.0,312.966666667,0,0,0,1
340,Ape Canyon,340,25.0,11.0,1400.0,204.516666667,0,0,0,0
341,Mount Adams South Climb,341,129.0,12.0,6700.0,272.8,0,0,1,0
342,Church Creek,342,26.0,6.4,2300.0,175.766666667,0,0,0,0
343,Independence and North Lakes,343,125.0,7.0,2200.0,112.633333333,0,0,0,1
344,West Defiance - Putrid Pete's Peak,344,89.0,6.8,3020.0,56.15,0,0,1,0
345,Mount Townsend,345,409.0,8.0,3010.0,156.7,0,0,1,0
